player,season,total_shots,total_total_yellow_cards,total_total_red_cards,total_goals
aaron cresswell,2015,114,20.0,0.0,2
aaron cresswell,2016,106,4.0,0.0,2
aaron cresswell,2017,23,8.0,0.0,0
aaron hughes,2014,21,8.0,0.0,1
aaron hunt,2012,107,0.0,6.0,3
aaron hunt,2013,184,12.0,0.0,11
aaron hunt,2014,143,8.0,0.0,7
aaron hunt,2015,24,4.0,0.0,2
aaron hunt,2016,99,8.0,0.0,2
aaron hunt,2017,26,4.0,0.0,0
aaron lennon,2014,66,4.0,0.0,1
aaron lennon,2015,52,12.0,0.0,2
aaron lennon,2016,58,4.0,0.0,5
aaron lennon,2017,9,0.0,0.0,0
aaron leya iseka,2017,17,0.0,0.0,0
aaron martin,2017,41,4.0,0.0,0
aaron ramsey,2014,73,8.0,0.0,6
aaron ramsey,2015,129,24.0,0.0,6
aaron ramsey,2016,176,16.0,0.0,5
aaron ramsey,2017,45,12.0,0.0,0
aaron seydel,2017,12,0.0,0.0,1
aaron wilbraham,2014,2,0.0,0.0,0
abdelhamid el kaoutari,2012,18,8.0,0.0,0
abdelhamid el kaoutari,2013,73,8.0,6.0,0
abdelhamid el kaoutari,2014,82,12.0,6.0,1
abdelhamid el kaoutari,2015,85,12.0,0.0,0
abdelhamid el kaoutari,2016,39,8.0,0.0,1
abdelhamid el kaoutari,2017,2,0.0,0.0,0
abdou diallo,2015,1,0.0,0.0,0
abdou diallo,2017,15,0.0,0.0,0
abdoul ba,2015,16,0.0,0.0,0
abdoul razzagui camara,2012,17,0.0,0.0,1
abdoul sissoko,2015,24,4.0,0.0,0
abdoulay konko,2012,78,12.0,0.0,0
abdoulay konko,2013,85,12.0,0.0,1
abdoulay konko,2014,59,4.0,0.0,1
abdoulay konko,2015,8,0.0,0.0,0
abdoulay konko,2016,74,12.0,0.0,0
abdoulay konko,2017,28,8.0,0.0,0
abdoulaye ba,2015,74,40.0,0.0,1
abdoulaye bamba,2012,74,16.0,0.0,1
abdoulaye bamba,2017,7,4.0,0.0,1
abdoulaye diallo,2012,1,0.0,0.0,0
abdoulaye diallo,2016,4,0.0,0.0,0
abdoulaye keita,2012,1,0.0,0.0,0
abdoulaye keita,2013,5,0.0,0.0,0
abdoulaye keita,2014,9,0.0,0.0,0
abdoulaye keita,2015,9,0.0,0.0,0
abdoulaye keita,2017,6,0.0,0.0,0
abdul rahman baba,2013,32,0.0,0.0,0
abdul rahman baba,2015,51,12.0,0.0,0
abdul rahman baba,2017,36,8.0,0.0,0
abel aguilar,2013,149,56.0,0.0,3
abel aguilar,2014,108,28.0,0.0,1
abel aguilar,2015,48,20.0,0.0,0
abou diaby,2016,6,0.0,0.0,0
abou diaby,2017,5,4.0,0.0,0
aboubakar kamara,2015,1,0.0,0.0,0
abraham,2012,94,32.0,0.0,2
abraham,2013,284,112.0,0.0,2
abraham,2014,90,24.0,0.0,0
abraham,2015,222,56.0,0.0,4
abraham,2016,70,8.0,0.0,2
accursio bentivegna,2015,2,0.0,0.0,0
accursio bentivegna,2016,2,4.0,0.0,0
accursio bentivegna,2017,7,0.0,0.0,0
achraf lazaar,2015,98,8.0,0.0,2
achraf lazaar,2016,119,16.0,0.0,1
adam armstrong,2014,3,0.0,0.0,0
adam armstrong,2015,18,4.0,0.0,0
adam bodzek,2013,151,36.0,0.0,2
adam clayton,2017,63,20.0,0.0,0
adam federici,2016,4,0.0,0.0,0
adam federici,2017,1,4.0,0.0,0
adam forshaw,2017,58,12.0,0.0,0
adam lallana,2014,165,12.0,0.0,8
adam lallana,2015,113,16.0,0.0,5
adam lallana,2016,122,8.0,0.0,4
adam lallana,2017,74,8.0,0.0,7
adam masina,2016,115,32.0,6.0,2
adam masina,2017,67,16.0,0.0,1
adam matuschyk,2012,10,4.0,0.0,0
adam matuschyk,2015,18,0.0,0.0,0
adam ounas,2016,99,16.0,0.0,5
adam ounas,2017,50,16.0,6.0,0
adam smith,2016,228,40.0,0.0,4
adam smith,2017,192,48.0,0.0,2
adama ba,2012,20,0.0,0.0,0
adama ba,2013,28,4.0,0.0,0
adama ba,2014,39,4.0,0.0,3
adama diakhaby,2017,25,4.0,0.0,2
adama niane,2015,8,0.0,0.0,0
adama soumaoro,2014,11,0.0,6.0,0
adama soumaoro,2015,1,0.0,0.0,0
adama soumaoro,2016,86,24.0,0.0,1
adama soumaoro,2017,45,4.0,0.0,0
adel taarabt,2014,114,12.0,0.0,4
adel taarabt,2015,23,0.0,0.0,0
ademola lookman,2017,4,0.0,0.0,1
adil rami,2012,120,36.0,0.0,2
adil rami,2013,90,28.0,0.0,0
adil rami,2014,66,12.0,0.0,3
adil rami,2015,78,20.0,0.0,1
adil rami,2016,84,36.0,0.0,0
adil rami,2017,41,16.0,0.0,0
admir mehmedi,2014,191,8.0,0.0,12
admir mehmedi,2015,81,4.0,0.0,2
admir mehmedi,2016,86,8.0,0.0,2
admir mehmedi,2017,61,4.0,0.0,3
adnan januzaj,2014,136,28.0,0.0,4
adnan januzaj,2015,62,0.0,0.0,0
adnan januzaj,2016,28,4.0,0.0,1
adnan januzaj,2017,59,12.0,0.0,0
adnane tighadouini,2016,26,0.0,0.0,1
adrian mariappa,2014,58,20.0,0.0,1
adrian mariappa,2015,25,12.0,0.0,0
adrian mariappa,2016,8,0.0,0.0,0
adrian stoian,2013,64,4.0,0.0,3
adrian stoian,2014,35,8.0,0.0,0
adrian stoian,2017,33,8.0,0.0,1
adriano,2012,64,12.0,0.0,1
adriano,2013,66,12.0,0.0,5
adriano,2014,110,32.0,0.0,3
adriano,2015,44,8.0,0.0,0
adriano,2016,17,0.0,0.0,0
adriano russo,2016,22,8.0,0.0,1
adrien hunou,2014,43,4.0,0.0,0
adrien hunou,2017,46,8.0,0.0,1
adrien rabiot,2013,67,8.0,0.0,1
adrien rabiot,2014,78,8.0,0.0,2
adrien rabiot,2015,64,4.0,0.0,4
adrien rabiot,2016,76,16.0,0.0,1
adrien rabiot,2017,37,0.0,0.0,1
adrien regattin,2012,89,12.0,0.0,1
adrien regattin,2013,86,8.0,6.0,3
adrien regattin,2014,78,0.0,0.0,0
adrien regattin,2015,124,12.0,0.0,3
adrien regattin,2016,103,20.0,0.0,1
adrien thomasson,2012,6,4.0,0.0,0
adrien thomasson,2015,96,12.0,0.0,2
adrien thomasson,2016,137,28.0,0.0,2
adrien thomasson,2017,54,12.0,6.0,0
adrien trebel,2014,9,0.0,0.0,0
aduriz,2016,251,36.0,0.0,18
aduriz,2017,107,24.0,0.0,6
afriyie acquah,2012,57,16.0,0.0,0
afriyie acquah,2013,23,12.0,0.0,0
afriyie acquah,2014,130,28.0,0.0,1
afriyie acquah,2015,131,52.0,0.0,1
afriyie acquah,2016,117,36.0,0.0,2
afriyie acquah,2017,27,8.0,0.0,0
agon mehmeti,2012,6,0.0,0.0,0
ahmad benali,2017,32,0.0,0.0,1
ahmed elmohamady,2014,88,12.0,0.0,1
ahmed elmohamady,2015,122,16.0,0.0,2
ahmed elmohamady,2017,26,8.0,6.0,0
ahmed hegazy,2013,1,0.0,0.0,0
ahmed hegazy,2014,2,0.0,0.0,0
ahmed kantari,2012,35,8.0,0.0,0
ahmed kantari,2013,99,32.0,0.0,1
ahmed kantari,2015,95,24.0,0.0,1
ahmed kashi,2015,64,8.0,0.0,1
ahmed musa,2017,41,4.0,0.0,2
aiden mcgeady,2014,15,0.0,0.0,0
aiden mcgeady,2015,51,4.0,0.0,1
akaki gogia,2012,31,4.0,0.0,0
aketxe,2016,7,0.0,0.0,0
akram afif,2017,8,0.0,0.0,0
alaeddine yahia,2015,65,12.0,6.0,2
alaeddine yahia,2016,100,20.0,6.0,2
alaeddine yahia,2017,62,12.0,0.0,2
alan hutton,2013,58,16.0,0.0,0
alan hutton,2015,109,32.0,0.0,1
alan hutton,2016,103,32.0,0.0,2
alban lafont,2016,20,0.0,0.0,0
alban lafont,2017,10,8.0,0.0,0
alban meha,2015,117,4.0,0.0,3
albano bizzarri,2012,7,0.0,6.0,0
albano bizzarri,2013,6,0.0,0.0,0
albano bizzarri,2014,1,0.0,0.0,0
albano bizzarri,2015,24,4.0,0.0,0
albano bizzarri,2016,33,8.0,0.0,0
albano bizzarri,2017,9,8.0,0.0,0
albert adomah,2017,9,0.0,0.0,0
albert bunjaku,2012,53,0.0,0.0,1
albert rafetraniaina,2013,1,0.0,0.0,0
albert rafetraniaina,2014,6,0.0,0.0,0
albert rafetraniaina,2015,42,12.0,0.0,0
albert rafetraniaina,2016,2,4.0,0.0,0
alberto,2017,54,32.0,0.0,0
alberto aquilani,2012,110,20.0,0.0,0
alberto aquilani,2013,131,24.0,6.0,7
alberto aquilani,2014,161,28.0,0.0,6
alberto aquilani,2015,94,20.0,0.0,0
alberto aquilani,2017,33,8.0,0.0,1
alberto cerri,2013,2,0.0,0.0,0
alberto cerri,2017,1,0.0,0.0,0
alberto gilardino,2012,140,16.0,0.0,6
alberto gilardino,2013,235,16.0,0.0,13
alberto gilardino,2014,260,32.0,0.0,15
alberto gilardino,2015,68,0.0,0.0,4
alberto gilardino,2016,179,12.0,0.0,9
alberto gilardino,2017,54,8.0,0.0,0
alberto grassi,2015,7,0.0,0.0,0
alberto grassi,2016,66,24.0,0.0,0
alberto grassi,2017,22,8.0,0.0,0
alberto moreno,2013,44,20.0,0.0,0
alberto moreno,2014,110,20.0,6.0,3
alberto moreno,2015,103,24.0,0.0,2
alberto moreno,2016,106,12.0,0.0,1
alberto moreno,2017,11,4.0,0.0,0
alberto paloschi,2012,159,4.0,0.0,5
alberto paloschi,2013,95,4.0,0.0,7
alberto paloschi,2014,169,12.0,0.0,13
alberto paloschi,2015,207,8.0,0.0,9
alberto paloschi,2016,158,12.0,0.0,10
alberto paloschi,2017,24,0.0,0.0,0
alberto pelagotti,2016,8,0.0,0.0,0
alberto pelagotti,2017,5,0.0,0.0,0
alberto pomini,2014,5,0.0,0.0,0
alberto pomini,2015,4,0.0,0.0,0
albian ajeti,2016,2,0.0,0.0,0
albin ekdal,2012,164,12.0,0.0,1
albin ekdal,2013,186,32.0,0.0,1
albin ekdal,2014,100,24.0,0.0,1
albin ekdal,2015,204,28.0,0.0,5
albin ekdal,2016,75,16.0,0.0,1
albin ekdal,2017,34,8.0,0.0,0
alcatraz,2014,19,0.0,0.0,1
aldo kalulu,2016,10,0.0,0.0,2
aldo kalulu,2017,9,4.0,0.0,1
aleandro rosi,2012,95,8.0,0.0,0
aleandro rosi,2013,113,24.0,6.0,3
aleandro rosi,2014,75,16.0,6.0,2
aleandro rosi,2015,45,4.0,0.0,0
aleandro rosi,2016,148,24.0,0.0,0
aleandro rosi,2017,69,24.0,0.0,1
aleix vidal,2014,187,12.0,0.0,6
aleix vidal,2015,110,32.0,0.0,4
aleix vidal,2016,15,4.0,0.0,0
aleix vidal,2017,12,0.0,0.0,1
alejandro bedoya,2014,118,16.0,0.0,5
alejandro bedoya,2015,102,12.0,0.0,3
alejandro bedoya,2016,116,12.0,0.0,3
aleksandar ignjovski,2012,120,12.0,0.0,0
aleksandar ignjovski,2013,87,8.0,0.0,1
aleksandar ignjovski,2014,45,12.0,0.0,0
aleksandar ignjovski,2015,66,16.0,0.0,0
aleksandar ignjovski,2016,57,12.0,0.0,0
aleksandar ignjovski,2017,12,0.0,0.0,0
aleksandar katai,2017,13,4.0,0.0,0
aleksandar kolarov,2014,100,8.0,0.0,1
aleksandar kolarov,2015,85,16.0,0.0,2
aleksandar kolarov,2016,117,12.0,0.0,4
aleksandar kolarov,2017,78,24.0,0.0,2
aleksandar tonev,2014,32,0.0,0.0,0
aleksandar tonev,2016,60,8.0,0.0,0
aleksandar tonev,2017,20,4.0,0.0,0
aleksandar trajkovski,2016,119,8.0,0.0,3
aleksandar trajkovski,2017,1,0.0,0.0,1
alessandro bastoni,2017,4,0.0,0.0,0
alessandro bernardini,2014,24,0.0,0.0,1
alessandro bruno,2017,7,8.0,0.0,0
alessandro crescenzi,2014,38,8.0,0.0,0
alessandro crescenzi,2017,46,4.0,0.0,0
alessandro deiola,2017,1,0.0,0.0,0
alessandro diamanti,2012,248,24.0,0.0,6
alessandro diamanti,2013,377,40.0,0.0,7
alessandro diamanti,2014,230,32.0,0.0,5
alessandro diamanti,2015,91,16.0,0.0,2
alessandro diamanti,2016,96,16.0,0.0,1
alessandro diamanti,2017,98,24.0,0.0,0
alessandro florenzi,2013,115,12.0,0.0,3
alessandro florenzi,2014,97,16.0,0.0,6
alessandro florenzi,2015,120,36.0,0.0,5
alessandro florenzi,2016,115,16.0,0.0,7
alessandro florenzi,2017,38,12.0,0.0,0
alessandro frara,2016,47,12.0,0.0,2
alessandro gamberini,2012,86,24.0,0.0,0
alessandro gamberini,2013,69,12.0,0.0,1
alessandro gamberini,2014,27,4.0,0.0,0
alessandro gamberini,2015,53,8.0,0.0,0
alessandro gamberini,2016,51,4.0,0.0,1
alessandro gamberini,2017,15,0.0,0.0,1
alessandro gazzi,2012,107,28.0,0.0,1
alessandro gazzi,2013,95,28.0,0.0,2
alessandro gazzi,2014,16,4.0,0.0,0
alessandro gazzi,2015,91,52.0,0.0,0
alessandro gazzi,2016,39,16.0,0.0,0
alessandro gazzi,2017,41,12.0,0.0,0
alessandro iacobucci,2015,7,0.0,0.0,0
alessandro longhi,2014,80,16.0,0.0,2
alessandro longhi,2015,52,8.0,0.0,0
alessandro longhi,2016,8,4.0,0.0,0
alessandro matri,2012,161,16.0,0.0,10
alessandro matri,2013,79,12.0,0.0,8
alessandro matri,2014,126,12.0,0.0,5
alessandro matri,2015,107,8.0,0.0,7
alessandro matri,2016,57,4.0,6.0,4
alessandro matri,2017,38,4.0,0.0,5
alessandro murgia,2017,5,0.0,0.0,1
alessandro piu,2016,11,0.0,0.0,0
alessandro rosina,2013,155,16.0,0.0,5
alessandro rossi,2017,3,0.0,0.0,0
alessio cerci,2012,118,12.0,6.0,5
alessio cerci,2013,182,20.0,0.0,8
alessio cerci,2014,248,16.0,0.0,13
alessio cerci,2015,73,8.0,0.0,1
alessio cerci,2016,105,4.0,0.0,4
alessio cragno,2015,12,0.0,0.0,0
alessio romagnoli,2013,4,0.0,0.0,1
alessio romagnoli,2014,38,16.0,0.0,0
alessio romagnoli,2015,95,36.0,0.0,2
alessio romagnoli,2016,107,40.0,0.0,0
alessio romagnoli,2017,37,12.0,0.0,0
alex,2012,86,8.0,0.0,4
alex,2013,130,16.0,0.0,6
alex,2014,210,48.0,0.0,6
alex,2015,102,24.0,0.0,4
alex,2016,160,40.0,0.0,6
alex berenguer,2017,49,4.0,0.0,0
alex bruce,2014,37,8.0,0.0,0
alex bruce,2015,37,12.0,0.0,0
alex cordaz,2015,1,0.0,6.0,0
alex cordaz,2017,8,0.0,6.0,0
alex ferrari,2016,68,24.0,0.0,0
alex ferrari,2017,1,0.0,0.0,0
alex iwobi,2016,23,0.0,0.0,2
alex iwobi,2017,49,4.0,0.0,2
alex mccarthy,2015,2,0.0,0.0,0
alex mccarthy,2016,2,0.0,0.0,0
alex pritchard,2016,4,0.0,0.0,0
alex sandro,2016,92,28.0,0.0,2
alex sandro,2017,90,20.0,0.0,2
alex telles,2016,66,24.0,0.0,0
alexander baumjohann,2012,28,4.0,0.0,0
alexander baumjohann,2014,11,0.0,0.0,0
alexander baumjohann,2016,26,0.0,0.0,1
alexander djiku,2015,12,0.0,0.0,1
alexander djiku,2016,70,20.0,6.0,0
alexander djiku,2017,37,4.0,0.0,1
alexander esswein,2012,121,12.0,0.0,4
alexander esswein,2013,114,4.0,0.0,2
alexander esswein,2014,60,0.0,0.0,0
alexander esswein,2015,57,0.0,0.0,1
alexander esswein,2016,124,4.0,0.0,3
alexander esswein,2017,48,8.0,0.0,2
alexander farnerud,2014,65,16.0,0.0,4
alexander farnerud,2015,80,8.0,0.0,1
alexander farnerud,2016,4,0.0,0.0,0
alexander hack,2016,16,4.0,0.0,0
alexander hack,2017,18,0.0,0.0,0
alexander madlung,2012,74,12.0,0.0,1
alexander madlung,2013,43,4.0,6.0,2
alexander madlung,2014,45,4.0,0.0,2
alexander madlung,2015,67,20.0,0.0,5
alexander manninger,2013,8,0.0,0.0,0
alexander manninger,2014,11,0.0,0.0,0
alexander manninger,2015,8,0.0,0.0,0
alexander manninger,2016,1,0.0,0.0,0
alexander meier,2013,202,16.0,0.0,16
alexander meier,2014,91,0.0,0.0,6
alexander meier,2015,137,0.0,0.0,19
alexander meier,2016,89,8.0,0.0,12
alexander meier,2017,59,4.0,0.0,4
alexander merkel,2012,50,4.0,0.0,0
alexander merkel,2013,27,4.0,0.0,1
alexander merkel,2016,5,4.0,0.0,0
alexander ring,2012,14,0.0,0.0,0
alexander ring,2013,9,0.0,0.0,0
alexander schwolow,2014,4,0.0,0.0,0
alexander schwolow,2017,2,4.0,0.0,0
alexander stolz,2014,1,0.0,0.0,0
alexander szymanowski,2017,50,0.0,0.0,3
alexander tettey,2012,37,16.0,0.0,1
alexander tettey,2014,51,28.0,0.0,1
alexander tettey,2016,82,44.0,0.0,2
alexandre coeff,2014,16,4.0,0.0,0
alexandre coeff,2016,73,20.0,0.0,0
alexandre lacazette,2012,122,24.0,0.0,5
alexandre lacazette,2013,139,0.0,0.0,3
alexandre lacazette,2014,218,36.0,0.0,15
alexandre lacazette,2015,241,24.0,0.0,27
alexandre lacazette,2016,234,20.0,0.0,21
alexandre lacazette,2017,111,8.0,0.0,17
alexandre letellier,2016,15,4.0,0.0,0
alexandre llovet,2017,2,0.0,0.0,0
alexandre mendy,2016,26,0.0,0.0,1
alexandre mendy,2017,25,0.0,0.0,1
alexandre song,2013,45,12.0,0.0,1
alexandre song,2014,50,8.0,0.0,1
alexandre song,2015,127,16.0,0.0,0
alexandre song,2016,26,4.0,0.0,0
alexandros tziolis,2012,25,8.0,0.0,0
alexandru maxim,2013,42,8.0,0.0,1
alexandru maxim,2014,103,12.0,0.0,7
alexandru maxim,2015,88,12.0,0.0,2
alexandru maxim,2016,64,4.0,0.0,1
alexis,2012,39,12.0,0.0,2
alexis,2013,102,44.0,12.0,3
alexis,2014,125,64.0,0.0,0
alexis,2015,99,52.0,6.0,1
alexis,2016,50,28.0,0.0,1
alexis,2017,43,32.0,0.0,1
alexis blin,2015,16,4.0,0.0,0
alexis blin,2016,80,20.0,0.0,0
alexis blin,2017,63,12.0,0.0,0
alexis zapata,2015,1,0.0,0.0,0
alexy bosetti,2013,43,8.0,6.0,0
alexy bosetti,2014,44,8.0,0.0,5
alexy bosetti,2015,91,12.0,0.0,5
alfie mawson,2017,20,0.0,0.0,2
alfred duncan,2013,5,4.0,0.0,0
alfred duncan,2014,98,24.0,0.0,0
alfred duncan,2015,65,12.0,0.0,1
alfred duncan,2016,112,16.0,0.0,1
alfred duncan,2017,24,0.0,0.0,0
alfredo morales,2012,18,12.0,0.0,0
alfredo morales,2016,146,28.0,0.0,1
alfredo morales,2017,49,12.0,0.0,1
alhassan wakaso,2017,3,0.0,0.0,0
alhassane bangoura,2012,10,4.0,0.0,0
ali adnan,2016,102,24.0,0.0,1
ali adnan,2017,27,0.0,0.0,0
ali ahamada,2012,30,4.0,0.0,0
ali ahamada,2013,40,4.0,6.0,1
ali ahamada,2014,12,4.0,0.0,0
ali ahamada,2015,19,0.0,0.0,1
ali ahamada,2016,3,0.0,0.0,0
aliaksandr hleb,2012,11,0.0,0.0,1
alioune fall,2015,24,8.0,0.0,0
aljaz struna,2016,81,48.0,0.0,1
allan,2013,312,56.0,0.0,0
allan,2014,262,56.0,0.0,0
allan,2015,336,64.0,0.0,2
allan,2016,300,32.0,0.0,6
allan,2017,132,24.0,0.0,0
allan mcgregor,2014,22,0.0,12.0,0
allan mcgregor,2015,20,0.0,0.0,0
almen abdi,2012,86,8.0,0.0,0
almen abdi,2016,110,16.0,0.0,2
almog cohen,2012,67,20.0,0.0,0
almog cohen,2013,24,4.0,0.0,0
almog cohen,2016,48,8.0,0.0,0
almog cohen,2017,73,4.0,0.0,2
alois confais,2016,48,12.0,0.0,0
alou diarra,2012,123,24.0,0.0,2
alou diarra,2013,38,4.0,0.0,0
alou diarra,2014,10,4.0,0.0,0
alou diarra,2017,34,16.0,0.0,2
alphonse areola,2015,28,4.0,0.0,0
alphonse areola,2016,31,4.0,0.0,0
alphonse areola,2017,2,0.0,0.0,0
aly cissokho,2012,87,20.0,0.0,2
aly cissokho,2013,83,24.0,6.0,2
aly cissokho,2014,35,8.0,0.0,0
aly cissokho,2015,71,4.0,0.0,1
aly cissokho,2016,50,12.0,6.0,0
aly ndom,2016,17,0.0,0.0,0
amadou diawara,2016,100,48.0,6.0,0
amadou diawara,2017,19,0.0,0.0,0
amin younes,2013,27,0.0,0.0,1
amin younes,2014,9,0.0,0.0,0
amine harit,2017,114,16.0,0.0,1
amir abrashi,2017,43,8.0,0.0,1
amos youga,2016,69,16.0,6.0,0
anastasios donis,2017,7,0.0,0.0,0
ander herrera,2014,10,4.0,0.0,0
ander herrera,2015,116,24.0,0.0,6
ander herrera,2016,77,16.0,0.0,3
ander herrera,2017,98,16.0,0.0,0
anders christiansen,2015,7,0.0,0.0,0
anders konradsen,2015,48,8.0,0.0,2
anders lindegaard,2014,2,0.0,0.0,0
andre gray,2017,65,8.0,0.0,6
andre wisdom,2015,38,4.0,0.0,0
andre wisdom,2016,10,4.0,0.0,0
andrea barberis,2017,28,4.0,0.0,0
andrea barzagli,2012,84,12.0,0.0,1
andrea barzagli,2013,84,20.0,0.0,0
andrea barzagli,2014,49,12.0,0.0,1
andrea barzagli,2015,17,8.0,0.0,0
andrea barzagli,2016,48,8.0,0.0,1
andrea barzagli,2017,17,8.0,0.0,0
andrea belotti,2015,154,12.0,0.0,6
andrea belotti,2016,250,16.0,0.0,12
andrea belotti,2017,177,20.0,0.0,14
andrea bertolacci,2012,83,8.0,0.0,3
andrea bertolacci,2013,153,28.0,0.0,4
andrea bertolacci,2014,155,28.0,0.0,2
andrea bertolacci,2015,225,40.0,0.0,6
andrea bertolacci,2016,120,24.0,0.0,1
andrea bertolacci,2017,15,4.0,0.0,1
andrea caracciolo,2012,178,8.0,12.0,3
andrea catellani,2012,69,4.0,0.0,1
andrea coda,2012,22,4.0,0.0,0
andrea coda,2013,48,12.0,0.0,0
andrea coda,2014,72,44.0,0.0,0
andrea coda,2015,4,4.0,0.0,0
andrea coda,2016,5,4.0,0.0,0
andrea coda,2017,16,12.0,0.0,0
andrea consigli,2012,29,12.0,6.0,0
andrea consigli,2013,36,16.0,0.0,0
andrea consigli,2014,49,12.0,0.0,0
andrea consigli,2015,38,8.0,6.0,0
andrea consigli,2016,42,12.0,6.0,1
andrea consigli,2017,12,4.0,0.0,0
andrea conti,2016,41,12.0,0.0,2
andrea conti,2017,63,28.0,0.0,2
andrea costa,2013,101,24.0,6.0,1
andrea costa,2014,81,48.0,0.0,0
andrea costa,2015,76,16.0,0.0,1
andrea costa,2016,60,16.0,0.0,1
andrea costa,2017,43,12.0,0.0,2
andrea esposito,2012,85,36.0,0.0,1
andrea lazzari,2012,148,24.0,0.0,2
andrea lazzari,2013,100,28.0,0.0,1
andrea lazzari,2014,89,12.0,0.0,1
andrea lazzari,2015,5,0.0,0.0,0
andrea lazzari,2016,25,4.0,0.0,1
andrea lisuzzo,2012,54,12.0,0.0,0
andrea mantovani,2012,87,16.0,0.0,2
andrea mantovani,2013,11,8.0,0.0,0
andrea mantovani,2014,44,24.0,0.0,0
andrea masiello,2012,50,16.0,0.0,1
andrea masiello,2015,42,12.0,0.0,0
andrea masiello,2016,82,24.0,0.0,0
andrea masiello,2017,50,12.0,0.0,3
andrea nalini,2017,19,4.0,0.0,0
andrea petagna,2014,11,4.0,0.0,0
andrea petagna,2017,101,4.0,0.0,4
andrea pirlo,2012,177,20.0,0.0,3
andrea pirlo,2013,165,32.0,0.0,5
andrea pirlo,2014,102,16.0,0.0,4
andrea pirlo,2015,62,0.0,0.0,4
andrea poli,2012,62,8.0,0.0,0
andrea poli,2013,181,20.0,0.0,3
andrea poli,2014,63,16.0,0.0,2
andrea poli,2015,118,20.0,0.0,1
andrea poli,2016,29,4.0,0.0,0
andrea poli,2017,10,4.0,0.0,0
andrea raggi,2012,86,16.0,0.0,0
andrea raggi,2014,70,8.0,0.0,1
andrea raggi,2015,72,32.0,0.0,0
andrea raggi,2016,66,20.0,0.0,2
andrea raggi,2017,16,0.0,0.0,0
andrea ranocchia,2012,47,8.0,6.0,1
andrea ranocchia,2013,128,44.0,0.0,2
andrea ranocchia,2014,95,36.0,0.0,1
andrea ranocchia,2015,131,36.0,0.0,2
andrea ranocchia,2016,70,28.0,0.0,0
andrea ranocchia,2017,22,8.0,0.0,0
andrea rispoli,2015,88,20.0,0.0,0
andrea rispoli,2016,62,12.0,0.0,0
andrea rispoli,2017,49,8.0,0.0,2
andrea rossi,2012,35,20.0,0.0,0
andrea seculin,2016,4,0.0,0.0,0
andrea tabanelli,2014,12,0.0,0.0,0
andrea tabanelli,2015,29,0.0,0.0,0
andreas beck,2012,164,48.0,0.0,1
andreas beck,2013,158,20.0,0.0,1
andreas beck,2014,138,16.0,0.0,1
andreas beck,2015,134,20.0,0.0,1
andreas christensen,2015,1,0.0,0.0,0
andreas christensen,2016,62,4.0,0.0,4
andreas christensen,2017,31,0.0,0.0,1
andreas cornelius,2014,7,0.0,0.0,0
andreas granqvist,2012,102,12.0,0.0,2
andreas granqvist,2013,137,28.0,0.0,1
andreas lambertz,2013,160,32.0,0.0,2
andreas ludwig,2013,8,0.0,0.0,0
andreas pereira,2015,1,0.0,0.0,0
andreas pereira,2016,5,8.0,0.0,0
andreas pereira,2017,85,24.0,0.0,2
andreas weimann,2014,96,4.0,0.0,4
andreas weimann,2015,78,20.0,0.0,3
andres tello,2017,43,20.0,0.0,0
andrew robertson,2015,52,28.0,0.0,0
andrew robertson,2017,31,12.0,0.0,0
andrew surman,2016,69,16.0,0.0,0
andrew surman,2017,27,4.0,0.0,0
andrew taylor,2014,24,0.0,0.0,0
andrew wooten,2012,27,0.0,0.0,1
andros townsend,2014,62,0.0,0.0,1
andros townsend,2015,38,8.0,0.0,2
andros townsend,2016,52,0.0,0.0,4
andros townsend,2017,78,12.0,0.0,1
andy carroll,2014,105,0.0,6.0,2
andy carroll,2015,84,8.0,0.0,5
andy carroll,2016,127,8.0,0.0,9
andy carroll,2017,55,4.0,0.0,5
andy delort,2012,36,8.0,0.0,0
andy delort,2013,46,8.0,0.0,1
andy delort,2016,328,20.0,0.0,11
andy king,2015,44,4.0,0.0,2
andy king,2016,41,8.0,0.0,2
andy king,2017,40,8.0,0.0,1
angelo ogbonna,2013,53,8.0,6.0,0
angelo ogbonna,2014,51,20.0,0.0,0
angelo ogbonna,2015,59,16.0,0.0,0
angelo ogbonna,2016,70,20.0,0.0,0
angelo ogbonna,2017,19,8.0,0.0,0
angelo palombo,2012,13,0.0,0.0,0
angelo palombo,2013,49,16.0,0.0,0
angelo palombo,2014,118,16.0,0.0,1
angelo palombo,2015,129,28.0,0.0,1
angelo palombo,2016,17,0.0,0.0,0
angelo palombo,2017,6,4.0,0.0,0
aniello salzano,2017,14,0.0,0.0,0
ante budimir,2017,29,0.0,0.0,0
anthony annan,2013,20,4.0,0.0,0
anthony annan,2014,2,0.0,0.0,0
anthony jung,2017,16,0.0,0.0,1
anthony knockaert,2015,20,0.0,0.0,0
anthony koura,2017,43,0.0,0.0,1
anthony lippini,2012,82,24.0,6.0,0
anthony lippini,2013,31,8.0,0.0,1
anthony lopes,2013,5,0.0,0.0,0
anthony lopes,2014,25,8.0,0.0,0
anthony lopes,2015,33,4.0,0.0,1
anthony lopes,2016,29,8.0,0.0,0
anthony lopes,2017,9,0.0,0.0,0
anthony martial,2013,7,4.0,0.0,0
anthony martial,2014,44,0.0,0.0,2
anthony martial,2015,160,4.0,0.0,9
